Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,086071,1892,12,33.6,25,Y
IDCJAC0005,086071,1893,01,35.3,26,Y
IDCJAC0005,086071,1893,02,39.5,09,Y
IDCJAC0005,086071,1893,03,40.8,02,Y
IDCJAC0005,086071,1893,04,25.3,11,Y
IDCJAC0005,086071,1893,05,22.5,04,Y
IDCJAC0005,086071,1893,06,16.8,11,Y
IDCJAC0005,086071,1893,07,15.5,23,Y
IDCJAC0005,086071,1893,08,18.6,12,Y
IDCJAC0005,086071,1893,09,27.7,30,Y
IDCJAC0005,086071,1893,10,29.3,08,Y
IDCJAC0005,086071,1893,11,31.3,16,Y
IDCJAC0005,086071,1893,12,37.7,10,Y
IDCJAC0005,086071,1894,01,39.1,21,Y
IDCJAC0005,086071,1894,02,35.6,05,Y
IDCJAC0005,086071,1894,03,33.9,08,Y
IDCJAC0005,086071,1894,04,29.1,15,Y
IDCJAC0005,086071,1894,05,20.5,16,Y
IDCJAC0005,086071,1894,06,16.9,19,Y
IDCJAC0005,086071,1894,07,16.7,28,Y
IDCJAC0005,086071,1894,08,20.9,21,Y
IDCJAC0005,086071,1894,09,21.7,20,Y
IDCJAC0005,086071,1894,10,30.6,23,Y
IDCJAC0005,086071,1894,11,40.9,27,Y
IDCJAC0005,086071,1894,12,33.3,10,Y
IDCJAC0005,086071,1895,01,37.2,24,Y
IDCJAC0005,086071,1895,02,38.1,13,Y
IDCJAC0005,086071,1895,03,35.0,13,Y
IDCJAC0005,086071,1895,04,29.3,19,Y
IDCJAC0005,086071,1895,05,19.1,03,Y
IDCJAC0005,086071,1895,06,18.9,06,Y
IDCJAC0005,086071,1895,07,17.3,18,Y
IDCJAC0005,086071,1895,08,22.7,24,Y
IDCJAC0005,086071,1895,09,24.7,02,Y
IDCJAC0005,086071,1895,10,30.3,12,Y
IDCJAC0005,086071,1895,11,37.1,25,Y
IDCJAC0005,086071,1895,12,37.1,08,Y
IDCJAC0005,086071,1896,01,42.2,23,Y
IDCJAC0005,086071,1896,02,39.3,17,Y
IDCJAC0005,086071,1896,03,35.0,07,Y
IDCJAC0005,086071,1896,04,27.3,20,Y
IDCJAC0005,086071,1896,05,22.3,01,Y
IDCJAC0005,086071,1896,06,16.9,10,Y
IDCJAC0005,086071,1896,07,16.1,03,Y
IDCJAC0005,086071,1896,08,19.5,22,Y
IDCJAC0005,086071,1896,09,24.3,11,Y
